tmdb_id,name,headquarters,homepage,logo_path,origin_country
116360,Monster Union,"Mapo, Seoul, South Korea",http://monsterunion.co.kr,https://image.tmdb.org/t/p/original/AfvZsh1ImHqATwF6LCUz7QLcS4g.png,KR
86977,GM Agency,,,,
7653,Zininsa Film Production,,,,
86982,DSP ENT,,,,
83915,Signal Entertainment Group,"Gangdong, Seoul, South Korea",,,KR
109849,webdramaBOX,,,,
115708,Jidam Inc.,,,,
168464,Iconix Entertainment,,,,
29230,Golden Thumb Pictures,,,,
112299,JYP Entertainment,"Gangnam, Seoul, South Korea",http://www.jype.com,https://image.tmdb.org/t/p/original/411aAEiTcadgHSzzfAHtzWIMWUs.png,KR
50998,AD406,"Mapo, Seoul, South Korea",,https://image.tmdb.org/t/p/original/3K5hmeIcI9tgXEo4EeyMmhZCfOc.png,KR
948,SBS,,,,
149946,Seoul Movie,,,,
73111,Lee Ki-jin Media,,,,
66404,IOK Media,"Gangnam, Seoul, South Korea",,,KR
171360,Seezn,,,,
112531,Movierock,"Seocho, Seoul, South Korea",,,KR
117010,JTBC PLUS,"Mapo, Seoul, South Korea",https://trend.jtbcplus.kr/,,KR
106106,SM Culture & Contents,"Gangnam, Seoul, South Korea",http://www.smcultureandcontents.com/main.asp,https://image.tmdb.org/t/p/original/fh6WrCiKqtejW1oerdG0FwiXgFA.png,KR
150294,Bound Entertainment,,,,KR
117973,Say On Media,"Mapo, Seoul, South Korea",http://www.sayonmedia.com,,KR
126468,Content Zium,"Mapo, Seoul, South Korea",,https://image.tmdb.org/t/p/original/bPL10u0CNVqmSovalrbcZiwWvre.png,KR
46869,HB Entertainment,"Gangnam, Seoul, South Korea",http://hbenter.com/,,KR
