,tmdb_id,name,place_of_birth,deathday,gender,known_for_department,popularity,profile_img_url,birthday_dt,year,month,weekday
3107,1149923,Clara Lee,"Bern, Switzerland",,1.0,Acting,6.665,https://image.tmdb.org/t/p/original/rCu6AzXrPpuAC5THKlO4EQFRGOb.jpg,1986-01-15,1986.0,1.0,2.0
3108,3728650,Yoon Yi-reh,South Korea,,1.0,Acting,0.98,https://image.tmdb.org/t/p/original/uKrJzryFpP2UCUoaV93OgXLohRx.jpg,1998-05-14,1998.0,5.0,3.0
3109,2206577,Choi Kyu-jin,,,2.0,Acting,2.644,https://image.tmdb.org/t/p/original/ntHauwAFpqk0HAmmS9KTWoMi2FK.jpg,1996-03-12,1996.0,3.0,1.0
3110,3291459,Hwang Se-on,,,1.0,Acting,0.6,https://image.tmdb.org/t/p/original/9bQhDW5O94IheoeA2EG5tb2tSWK.jpg,1994-08-04,1994.0,8.0,3.0
3111,3652325,Park Ji-won,,,1.0,Acting,0.84,https://image.tmdb.org/t/p/original/n5nsOcDz5pkX97cnvPB1GW2HA9k.jpg,1997-09-25,1997.0,9.0,3.0
3112,2109814,Lee Kyu-bok,South Korea,,2.0,Acting,1.138,https://image.tmdb.org/t/p/original/l0OUU7Q3eH7ILDN4DJsCyOOahO2.jpg,1981-01-02,1981.0,1.0,4.0
3113,1251075,Ban Hyo-jung,"Daegu, South Korea",,1.0,Acting,2.075,https://image.tmdb.org/t/p/original/iNj4I9xJySFkoXgxBJlDs46m8aV.jpg,1942-11-27,1942.0,11.0,4.0
3114,1200384,Kim Bo-ra,"Seoul, South Korea",,1.0,Acting,6.368,https://image.tmdb.org/t/p/original/5Y6yKloeVDnMB6AkJcdpl8E2bKA.jpg,1995-09-28,1995.0,9.0,3.0
3115,1731539,Kim Han-joon,"Seoul, South Korea",,2.0,Acting,1.143,,1982-03-28,1982.0,3.0,6.0
3116,1257587,Roh Jeong-eui,"Gyeonggi, South Korea",,1.0,Acting,6.403,https://image.tmdb.org/t/p/original/1hUPmg1S5kouOcWY293eCRNZruM.jpg,2001-07-31,2001.0,7.0,1.0
3117,2074083,Chae Hyung-won,"Gwangju, South Korea",,2.0,Acting,1.38,https://image.tmdb.org/t/p/original/905aUugO5VDKzWwpQRw7Y2dhNGJ.jpg,1994-01-15,1994.0,1.0,5.0
3118,1248765,Hong Ri-na,,,1.0,Acting,1.525,https://image.tmdb.org/t/p/original/wT8VOkpFTFnIcsEcyHAmTNDQLVr.jpg,1968-02-07,1968.0,2.0,2.0
3119,1335773,Shin Cheol-jin,South Korea,,2.0,Acting,1.101,https://image.tmdb.org/t/p/original/oII38CZH5beuohg8jITWaGTrF3S.jpg,1956-05-29,1956.0,5.0,1.0
3120,2197280,Seo Sang-won,,,2.0,Acting,1.318,,1967-11-11,1967.0,11.0,5.0
3121,1294914,Yoon Yoo-sun,"Seoul, South Korea",,1.0,Acting,13.544,https://image.tmdb.org/t/p/original/u9MlMnqGYyPmYoF4sLPjX8HBCDk.jpg,1969-01-17,1969.0,1.0,4.0
3122,2000142,Kim Sang-hwi,,,,Directing,0.6,,,,,
3123,1348586,Lee Ho-won,"Busan, South Korea",,2.0,Acting,1.686,https://image.tmdb.org/t/p/original/uKHmjEY5Z6BsZAxpLBe0FvkSUF7.jpg,1991-03-28,1991.0,3.0,3.0
3124,1846191,Kwon Han-sol,South Korea,,1.0,Acting,1.451,https://image.tmdb.org/t/p/original/euC2TauXekhPjSYh6JfcD8l1Hj4.jpg,1996-11-27,1996.0,11.0,2.0
3125,1628216,Park Mi-sun,"Seoul, South Korea",,1.0,Acting,3.061,https://image.tmdb.org/t/p/original/bF7OxYNi2GwhQspZnausMTuCeoH.jpg,1967-03-10,1967.0,3.0,4.0
3126,2699059,Han Jun-woo,South Korea,,2.0,Acting,3.5,https://image.tmdb.org/t/p/original/32bOfaAgXeJZ2wcp5GCVaTEBAoq.jpg,1984-03-28,1984.0,3.0,2.0
3127,2822440,Jeong Dong-won,,,2.0,Acting,0.692,https://image.tmdb.org/t/p/original/eBZW0UojKKKsNPBWSFQd9uieTy7.jpg,2007-03-19,2007.0,3.0,0.0
3128,1992986,Kim Ri Ah,,,,Acting,0.98,,,,,
